frame_idx,time_sec,track_id,castor_detected,person_detected,min_person_to_castor_px,min_hand_to_castor_px,near_robot,probable_contact,inside_robot_zone,interaction_score_frame,interaction_label_frame
0,0.0,1,1,1,101.57679959926624,,1,0,0,24.842320040073375,baixa
1,0.03336666666666667,1,1,1,102.39541839240252,,1,0,0,24.56944710902794,baixa
2,0.06673333333333334,1,1,1,102.39591384085122,,1,0,0,24.76029301127684,baixa
3,0.10010000000000001,1,1,1,102.31862057898843,,1,0,0,24.7861730365358,baixa
630,21.021,2,1,1,107.45670409496245,0.0,1,1,1,89.25432959050376,alta
631,21.054366666666667,2,1,1,107.4459036693321,,1,0,0,24.257929732380536,baixa
635,21.187833333333334,2,1,1,107.61305932868987,0.0,1,1,1,89.19969107994753,alta
636,21.2212,2,1,1,107.76889009855114,0.0,1,1,1,89.18675047717726,alta
638,21.287933333333335,2,1,1,107.79956170842343,0.0,1,1,1,89.21288712018745,alta
639,21.3213,2,1,1,107.89578435856876,0.0,1,1,1,89.18796961244254,alta
640,21.354666666666667,2,1,1,108.00698673816237,,1,0,0,24.17335410427858,baixa
641,21.388033333333333,2,1,1,108.068844660973,0.0,1,1,1,89.17868201858022,alta
642,21.421400000000002,2,1,1,108.10506696869595,,1,0,0,24.18104143132838,baixa
643,21.454766666666668,2,1,1,108.15546445611794,,1,0,0,24.172694140656407,baixa
644,21.488133333333334,2,1,1,108.20763712587986,0.0,1,1,1,89.16706266446755,alta
664,22.155466666666666,2,1,1,108.21249954654513,,1,0,0,24.17761548052359,baixa
691,23.056366666666666,3,1,1,107.80195503928088,,1,0,0,24.21980449607191,baixa
693,23.1231,3,1,1,107.69858360984236,,1,0,0,24.254261639218083,baixa
695,23.189833333333333,3,1,1,107.70390661231377,,1,0,0,24.22836730485862,baixa
697,23.256566666666668,3,1,1,107.70858536833245,,1,0,0,24.228049753429058,baixa
698,23.289933333333334,3,1,1,107.75725876896327,,1,0,0,24.212916996289813,baixa
699,23.3233,3,1,1,107.63246861475254,,1,0,0,24.265870841173918,baixa
700,23.356666666666666,3,1,1,107.77584259350905,,1,0,0,24.188961812272566,baixa
702,23.4234,3,1,1,108.10495386787056,,1,0,0,24.112711982528587,baixa
703,23.456766666666667,3,1,1,108.25944217441273,,1,0,0,24.138008511032222,baixa
704,23.490133333333333,3,1,1,108.3094246371681,,1,0,0,24.157394961640264,baixa
742,24.758066666666668,4,1,1,1035.8084668964425,,0,0,0,0.0,nula
744,24.8248,4,1,1,1031.3150724000293,,0,0,0,0.0,nula
745,24.858166666666666,4,1,1,1026.4597567744834,,0,0,0,0.0,nula
746,24.891533333333335,4,1,1,1020.8463372825097,,0,0,0,0.0,nula
747,24.9249,4,1,1,1014.8731140190473,,0,0,0,0.0,nula
748,24.958266666666667,4,1,1,1009.2338788191776,,0,0,0,0.0,nula
748,24.958266666666667,5,1,1,107.83474387228355,,1,0,0,24.21652561277164,baixa
749,24.991633333333333,4,1,1,1004.2365448223029,,0,0,0,0.0,nula
