frame_idx,timestamp_sec,target_id,target_visible,visible_ids,num_people,castor_visible,castor_bbox,target_bbox,face_confidence,pose_confidence,gaze_to_castor_prob,gaze_label,gaze_source,body_to_castor_distance_cm,hand_to_castor_distance_px,proxemic_zone,touch_prob,touch_state,interaction_state,confidence_level
0,0.0,1,True,"[1, 2, 3]",3,True,"(0.0, 139.603271484375, 427.3776550292969, 720.0)","(1004.306396484375, 0.0, 1279.51904296875, 473.2925720214844)",0.0,0.0,0.0,indeterminado,none,243.51532958007783,,zona_3,0.0,sem_contato,proximidade,baixa
1,0.03333333333333333,1,True,"[1, 2, 3]",3,True,"(0.0, 139.1454315185547, 419.3956298828125, 720.0)","(1005.4328002929688, 0.0, 1279.6943359375, 471.66351318359375)",0.0,0.6276315657628907,0.0,indeterminado,none,245.6042285002312,637.6383371195616,zona_3,0.0,sem_contato,proximidade,media
2,0.06666666666666667,1,True,"[1, 2, 3]",3,True,"(0.0, 139.4629669189453, 423.9466552734375, 720.0)","(1006.83984375, 0.0, 1279.46826171875, 468.8470764160156)",0.0,0.6331461990873019,0.0,indeterminado,none,246.84960875623548,632.3290667082002,zona_3,0.0,sem_contato,proximidade,media
3,0.1,1,True,"[1, 2, 3]",3,True,"(0.0, 138.71180725097656, 420.946533203125, 720.0)","(1005.6746826171875, 0.0, 1278.9136962890625, 469.7732238769531)",0.0,0.6513204673926035,0.0,indeterminado,none,246.459383875345,634.0482031222843,zona_3,0.0,sem_contato,proximidade,media
4,0.13333333333333333,1,True,"[1, 2, 3]",3,True,"(0.0, 139.438232421875, 419.9862365722656, 720.0)","(1003.9639282226562, 0.0, 1278.0655517578125, 470.9466857910156)",0.0,0.6765290482176675,0.0,indeterminado,none,245.57114813540042,638.1742871138123,zona_3,0.0,sem_contato,proximidade,media
5,0.16666666666666666,1,True,"[1, 2, 3]",3,True,"(0.0, 139.66259765625, 428.2430725097656, 720.0)","(1008.3978881835938, 0.0, 1278.9967041015625, 465.0048828125)",0.0,0.6673402720027499,0.0,indeterminado,none,248.74984359657748,624.2627655527717,zona_3,0.0,sem_contato,proximidade,media
6,0.2,1,True,"[1, 2, 3]",3,True,"(0.0, 139.6731719970703, 427.9375, 720.0)","(1010.1715698242188, 0.0, 1279.3416748046875, 462.6366882324219)",0.0,0.6751701633135477,0.0,indeterminado,none,250.48938836333036,624.4456673903217,zona_3,0.0,sem_contato,proximidade,media
7,0.23333333333333334,1,True,"[1, 2, 3]",3,True,"(0.1503499299287796, 139.55738830566406, 427.0722961425781, 720.0)","(1007.2607421875, 0.0, 1278.77783203125, 466.507568359375)",0.0,0.6761448764138751,0.0,indeterminado,none,247.80497005327433,615.4603369872272,zona_3,0.0,sem_contato,proximidade,media
8,0.26666666666666666,1,True,"[1, 2, 3]",3,True,"(0.0, 139.6370391845703, 425.9538879394531, 720.0)","(995.6390991210938, 0.0, 1270.6927490234375, 469.4842529296875)",0.0,0.0,0.0,indeterminado,none,243.76030015474248,,zona_3,0.0,sem_contato,proximidade,baixa
9,0.3,1,True,"[1, 2, 3]",3,True,"(0.0, 139.6468048095703, 416.5132751464844, 720.0)","(981.4635009765625, 0.0, 1257.6634521484375, 464.0138854980469)",0.0,0.0,0.0,indeterminado,none,244.7972113638371,,zona_3,0.0,sem_contato,proximidade,baixa
